Restaurant ID,Restaurant,Address,Locality,Cuisines,Average Cost for two,Rating,Rating text,Votes
1922,Culinaire,"Shop 2, Chandan Market, S Block, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Chinese, Thai",1000,4,Good,843
7642,Defence Bakery,"M-70, M Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Bakery, Fast Food",400,4,Good,113
64,Diva - The Italian Restaurant,"M-8A, M Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,Italian,2500,4,Good,372
18413250,Fig & Maple,"M-27, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Continental, Italian",1650,4,Good,42
312787,Fitoor,"M-31, 2nd & 3rd Floor, M Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"American, Italian, Mughlai, North Indian",1350,4,Good,140
3611,Giani's,"E-574, Main Road, Near ICICI Bank, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Ice Cream, Desserts",400,4,Good,173
309815,Happy Hakka,"E-578, Savitri Road, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Chinese, Asian, Thai",650,4,Good,312
1018,Mainland China,"Plot 4, Local Shopping Centre, Masjid Moth, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,Chinese,1800,4,Good,780
8689,Mini Mughal,"M-71, 1st Floor, M-Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"North Indian, Mughlai",1200,4,Good,256
18383512,Movenpick,"M 7, Main Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Ice Cream, Desserts",650,4,Good,27
308238,New York Slice - Express,"E-584, Near Savitri Cinema, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Pizza, Fast Food",800,4,Good,160
5944,Nirula's Ice Cream,"E-564, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Desserts, Ice Cream",250,4,Good,36
285,Not Just Paranthas,"M-84, M Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,North Indian,1100,4,Good,487
304635,Nutritious Nation,"M-45, Main Market, Ground Floor, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Healthy Food, Continental, Juices, Salad",900,4,Good,352
1021,Open Oven,"E-564, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Bakery, Desserts, Fast Food",250,4,Good,290
307532,Starbucks,"Ground Floor, M-11, Main Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,Cafe,700,4,Good,132
1913,Swagath,"M-9, M Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"North Indian, Chinese, South Indian, Seafood, Chettinad",1500,4,Good,198
311601,The Health Box,"Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,Healthy Food,600,4,Good,124
18254553,Twisted Tacos,"M-192, Ground Floor, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,Mexican,650,4,Good,173
4821,Uber Lounge,"M-42, M Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Continental, North Indian, Italian",2200,4,Good,430
308018,Yeti - The Himalayan Kitchen,"M-20, M Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Tibetan, Nepalese",1300,4,Good,807
310342,Zai,"Building 3, Local Shopping Complex, Masjid Moth, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"North Indian, Continental, Chinese",1550,4,Good,302
307344,Al Bake,"Shop 22, E Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Lebanese, Chinese, Fast Food",300,2,Poor,30
307801,Artusi Ristorante e Bar,"M-24, M Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,Italian,3000,4,Very Good,496
18462002,Baris,"Building 3, Local Shopping Complex, Mazjid Moth, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Turkish, Mediterranean, Middle Eastern",2000,4,Very Good,43
18208886,Carnatic Cafe,"M-21, M Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,South Indian,550,4,Very Good,400
18435305,Chhalava - ö__Lava,"M-40, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"North Indian, Italian, Continental",1200,4,Very Good,80
18260641,Dilli BC,"M-58, Main Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"North Indian, Mughlai",700,4,Very Good,267
18349921,Sumo Sushi,"Behind Savitri Cinema, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,Sushi,1000,4,Very Good,70
18380149,The Heroes Bistro & Bar,"M-13, 2nd Floor, M Block Market, Greater Kailash 2, New Delhi, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,Continental,900,4,Very Good,47
2649,Whipped,"E-556, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Bakery, Desserts",550,4,Very Good,1125
601,Cafe Coffee Day,"E-12, DDA Market, Masjid Moth, Greater Kailash (GK) 3, New Delhi",Greater Kailash (GK) 3,Cafe,450,3,Average,33
18462572,Paparazzi,"2 VIPPS Centre, North Wing, LSC Masjid Moth, Greater Kailash (GK) 3, New Delhi",Greater Kailash (GK) 3,"Continental, North Indian, Asian",1900,3,Average,7
309105,Chehel Pehel,"Shop 11, DDA Market, Masjid Mod, Greater Kailash (GK) 3, New Delhi",Greater Kailash (GK) 3,"North Indian, Mughlai",700,4,Good,159
18089222,Cress Bistro,"E-6, DDA Market, Masjid Moth, Greater Kailash (GK) 3, New Delhi",Greater Kailash (GK) 3,"North Indian, Mediterranean, Continental",1200,4,Good,131
